,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.09024038314819335,0.0011087894439697266,0.7897100857492855,0.7887400956661835,10.0,"(7,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",14,0.789795918367347,0.78892291985707,0.786734693877551,0.7861153649821337,0.7918367346938775,0.7871362940275651,0.7936670071501533,0.7945904567491707,0.7865168539325843,0.7869354427149783,0.021535740272547767,0.0002642354551466082,0.0028009478901533315,0.0030652344973990395
1,0.21501355171203612,0.002166414260864258,0.7801143323805635,0.782921321122303,10.0,"(15,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,)}",20,0.7918367346938775,0.7792240939254722,0.7826530612244897,0.7853496681980602,0.7928571428571428,0.7787136294027565,0.7834525025536262,0.7866802755805052,0.7497446373850868,0.7846389385047206,0.0391431352605072,0.0009516090632846535,0.015743278814940084,0.0032969979121402456
2,0.2503826141357422,0.004209375381469727,0.7909350755410371,0.8018576922861502,10.0,"(31,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,)}",13,0.7918367346938775,0.8016845329249617,0.7846938775510204,0.8016845329249617,0.8020408163265306,0.798111281265952,0.7916241062308478,0.7991834651696862,0.7844739530132788,0.80862464914519,0.027872236741196463,0.0010241328896886494,0.0064088162301969955,0.00366165972377377
3,0.12231216430664063,0.0022218704223632814,0.7833809718252348,0.7835851334078645,10.0,"(62,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,)}",19,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7824310520939735,0.7836182699668283,0.03249322094058813,0.0005285770633833558,0.0004824266990572404,2.705588709761459e-05
4,0.3414180278778076,0.004296541213989258,0.7882809309922417,0.7889951064961334,10.0,"(124,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (124,)}",15,0.7857142857142857,0.7886676875957122,0.7836734693877551,0.7863705972434916,0.7846938775510204,0.7840735068912711,0.7814096016343207,0.7841286042357745,0.8059244126659857,0.801735136514417,0.07742690894793669,0.002799758922892292,0.008932949833756755,0.006591033359663439
5,0.19507250785827637,0.0012511253356933595,0.8021641486320947,0.8056861110796332,0.01,"(7,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (7,)}",3,0.7979591836734694,0.7983665135273098,0.7969387755102041,0.8157223072996427,0.8377551020408164,0.8052577845839715,0.7936670071501533,0.8121969890278132,0.7844739530132788,0.7968869609594285,0.06230689895864664,0.0008725007642920245,0.01842360638843533,0.00740677772010735
6,0.2982635498046875,0.0024822711944580077,0.7876684360963658,0.7935380062915176,0.01,"(15,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (15,)}",16,0.7918367346938775,0.7886676875957122,0.7887755102040817,0.7955589586523737,0.8010204081632653,0.7930066360387953,0.7783452502553626,0.7879561112528707,0.7783452502553626,0.8025006379178362,0.050200681641625666,0.002865827787900378,0.008610377281481608,0.005283425496410406
7,0.23850159645080565,0.0011055946350097656,0.7927725602286647,0.8002748745298002,0.01,"(31,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (31,)}",10,0.7989795918367347,0.7955589586523737,0.7887755102040817,0.7983665135273098,0.7948979591836735,0.7922409392547218,0.7997957099080695,0.811431487624394,0.7814096016343207,0.8037764735902015,0.04454678159906806,0.00016743635556848026,0.006890242898222465,0.006740282368049624
8,0.2814476013183594,0.0038686275482177736,0.8003266639444672,0.8100239132895446,0.01,"(62,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (62,)}",6,0.8112244897959183,0.8144461459928535,0.8020408163265306,0.8205717202654416,0.7836734693877551,0.7835630423685553,0.8069458631256384,0.8183210002551672,0.797752808988764,0.8132176575657055,0.10266905790484068,0.004065525283993583,0.009482619735396982,0.013490972675065833
9,0.40514540672302246,0.004590749740600586,0.7991016741527154,0.8106871394331435,0.01,"(124,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (124,)}",7,0.8112244897959183,0.810617662072486,0.7836734693877551,0.7973455844818785,0.823469387755102,0.8065339458907606,0.7926455566905005,0.821127838734371,0.7844739530132788,0.817810665986221,0.07647963622770923,0.002796588935251884,0.015714148942072455,0.008426194451504318
10,0.20382256507873536,0.0010640621185302734,0.8027766435279706,0.805584031200467,1e-05,"(7,)","{'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (7,)}",1,0.7979591836734694,0.7983665135273098,0.8,0.815211842776927,0.8377551020408164,0.8055130168453293,0.7936670071501533,0.8121969890278132,0.7844739530132788,0.7966317938249553,0.08068342704802198,0.0008662563259786224,0.01829010874766034,0.007330295020073318
11,0.316438627243042,0.001928997039794922,0.7868517762351981,0.7915471816275496,1e-05,"(15,)","{'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (15,)}",17,0.7887755102040817,0.7784583971413986,0.7887755102040817,0.7955589586523737,0.8010204081632653,0.7930066360387953,0.7783452502553626,0.7882112783873437,0.7773237997957099,0.8025006379178362,0.062166842663642086,0.001129576044625939,0.008617192406447571,0.00800808462157528
12,0.2600447654724121,0.001493215560913086,0.7927725602286647,0.8001727946506338,1e-05,"(31,)","{'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (31,)}",10,0.7989795918367347,0.7955589586523737,0.7887755102040817,0.7983665135273098,0.7948979591836735,0.791985706993364,0.7997957099080695,0.811431487624394,0.7814096016343207,0.8035213064557285,0.048200188306742796,0.0011077768238042926,0.006890242898222465,0.006775680588832273
13,0.2741140365600586,0.0021796226501464844,0.8007349938750511,0.8104322849077171,1e-05,"(62,)","{'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (62,)}",4,0.813265306122449,0.8167432363450741,0.8020408163265306,0.8203164880040837,0.7836734693877551,0.7835630423685553,0.8069458631256384,0.8183210002551672,0.797752808988764,0.8132176575657055,0.08129194569806725,0.0014956379471589931,0.009974291305639404,0.013634308960854347
14,0.3777026176452637,0.0036554336547851562,0.7991016741527154,0.8105850465286004,1e-05,"(124,)","{'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (124,)}",7,0.8112244897959183,0.8101071975497703,0.7836734693877551,0.7973455844818785,0.823469387755102,0.8065339458907606,0.7926455566905005,0.821127838734371,0.7844739530132788,0.817810665986221,0.06415720072045886,0.003676644335388535,0.015714148942072455,0.008429509539130575
15,0.2090118408203125,0.0011827945709228516,0.8027766435279706,0.805584031200467,1e-08,"(7,)","{'NN__alpha': 1e-08, 'NN__hidden_layer_sizes': (7,)}",1,0.7979591836734694,0.7983665135273098,0.8,0.815211842776927,0.8377551020408164,0.8055130168453293,0.7936670071501533,0.8121969890278132,0.7844739530132788,0.7966317938249553,0.09701990652068991,0.0011314724934486545,0.01829010874766034,0.007330295020073318
16,0.2979862213134766,0.00095367431640625,0.7868517762351981,0.7915471816275496,1e-08,"(15,)","{'NN__alpha': 1e-08, 'NN__hidden_layer_sizes': (15,)}",17,0.7887755102040817,0.7784583971413986,0.7887755102040817,0.7955589586523737,0.8010204081632653,0.7930066360387953,0.7783452502553626,0.7882112783873437,0.7773237997957099,0.8025006379178362,0.04303059064244577,0.0004614770547554984,0.008617192406447571,0.00800808462157528
17,0.24336619377136232,0.000903177261352539,0.7927725602286647,0.8001727946506338,1e-08,"(31,)","{'NN__alpha': 1e-08, 'NN__hidden_layer_sizes': (31,)}",10,0.7989795918367347,0.7955589586523737,0.7887755102040817,0.7983665135273098,0.7948979591836735,0.791985706993364,0.7997957099080695,0.811431487624394,0.7814096016343207,0.8035213064557285,0.04797097564181371,6.377835584186339e-05,0.006890242898222465,0.006775680588832273
18,0.24439101219177245,0.0016425609588623046,0.8007349938750511,0.8104322849077171,1e-08,"(62,)","{'NN__alpha': 1e-08, 'NN__hidden_layer_sizes': (62,)}",4,0.813265306122449,0.8167432363450741,0.8020408163265306,0.8203164880040837,0.7836734693877551,0.7835630423685553,0.8069458631256384,0.8183210002551672,0.797752808988764,0.8132176575657055,0.08682785093924693,0.0002316395996558649,0.009974291305639404,0.013634308960854347
19,0.28077139854431155,0.0016324996948242187,0.7991016741527154,0.8105850465286004,1e-08,"(124,)","{'NN__alpha': 1e-08, 'NN__hidden_layer_sizes': (124,)}",7,0.8112244897959183,0.8101071975497703,0.7836734693877551,0.7973455844818785,0.823469387755102,0.8065339458907606,0.7926455566905005,0.821127838734371,0.7844739530132788,0.817810665986221,0.06656171936585088,0.0002347782405872179,0.015714148942072455,0.008429509539130575
